Time,Computername,Eventid,Level,Alert,Details,Rulepath,Filepath
2016-09-20 01:50:08.611 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: NhNdf5lHfrHKSCXq IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 40772 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.646 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: xg05F6tdf3kR9kdP IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 39962 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.693 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 70rRbaC6L6SzT15q IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 46486 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.735 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: HnJyN8wF21ff2L1e IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 33235 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.769 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: MUZHZJMQznj6GBqg IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 53586 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.804 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: P9h52ZKMbXLuFvUV IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 60860 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.839 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: n95RJvcQnFrAG2iX IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 49694 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.883 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: xI23nmysFlr1pvVf IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 40171 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.916 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: nVsjcTxDdZbzkmMx IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 33141 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.955 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: mMuWatQuNBh9UKdR IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 42002 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.992 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: BfC3JZ3awqFDNQbm IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 60598 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.028 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 337h8PHN6Axi0iaY IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 60623 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.071 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: qGQpWOuzgETfxTgJ IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 55769 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.108 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: oFjlyMAJMI2zIC8w IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 53344 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.144 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 7exAVz3PlzJQ6Wcw IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 40457 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.183 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: RuYihjQpt76foAW3 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 41513 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.219 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: OlPm2vRh9EHN9J6n IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 60381 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.255 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: n9jDy3NDDPe7XgyW IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 45011 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.291 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: AtGxqEKOoP6W3w0Y IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 58619 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.336 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: BLqYztXwV80UBez1 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 58624 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.364 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: C0yki1dEFZrnMLs2 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 51344 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.420 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: jbE2z1W1wQgoTDso IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 54692 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.455 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: IJmZFXFxiLuWWkMC IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 46220 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.500 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: x9EPwprgXSJNUFfg IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 39384 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.544 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: h0ZjYxZ8K5m5F1vo IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 36141 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.587 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: xSw7OjDv8ldqbm5T IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 41886 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.631 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: mk0BAdOI210HwPhX IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 34708 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.686 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: wSwWz57Kvl2XJVUR IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 38436 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.720 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: DLcfSrHT5bSsNnuQ IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 35344 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.760 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: rQDkbESps0PXWEUT IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 52328 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.797 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: ZpnyzkXasuyAtdn1 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 41534 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.840 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: ps9IqJzTliJvzpIS IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 51527 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.876 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: V7PLb2uRTIY8t123 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 44971 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.921 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: sHAJ9p0QbSRxhvtk IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 51091 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:09.968 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: YRiE1wGrwWAx0feP IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 37646 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:10.016 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: Flo4bCVjmlaHz0QS IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 56915 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:10.061 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: HscUujSzd3Ua7dqg IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 57865 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:10.156 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: aIQPTx67aEer51wb IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 36473 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
